"item_id","name","discount_price","percentage_discount","regular_price","date_added","url"
"693440","Zalando kod na rabat -15% ekstra na produkty przecenione podczas wyprzedaży @Zalando.pl MWZ 200 zł","NA","NA","NA","03-07-2023","https://www.pepper.pl/kupony/zalando-kod-na-rabat-15-ekstra-na-przecenione-produkty-at-zalandopl-mwz-200-zl-693440"
"693439","Odkurzacz pionowy Dyson V12 Detect Slim Absolute","2209.95","-23.0","2874.95","03-07-2023","https://www.pepper.pl/promocje/odkurzacz-pionowy-dyson-v12-detect-slim-absolute-693439"
"693436","Dr Martens - Buwick Botki sznurowane","244.8","-24.0","324.0","03-07-2023","https://www.pepper.pl/promocje/dr-martens-buwick-693436"
"693434","Słuchawki gamingowe HP Pavilion Gaming 600 Headset","89.0","-50.0","179.0","03-07-2023","https://www.pepper.pl/promocje/hp-pavilion-gaming-600-headset-693434"
"693432","Kino Pod Baranami Kraków - Letnie Tanie Kinobranie [07.07 - 31.08]","11.0","NA","NA","02-07-2023","https://www.pepper.pl/promocje/kino-pod-baranami-krakow-letnie-tanie-kinobranie-693432"
"693431","Perfumy Lacoste match POINT 30ml","125.99","NA","NA","03-07-2023","https://www.pepper.pl/promocje/lacoste-match-point-693431"
"693430","Sopranos - wszystkie sezony - blu-ray (brak PL)","NA","-40.0","318.02","03-07-2023","https://www.pepper.pl/promocje/sopranos-wszystkie-sezony-blu-ray-brak-pl-693430"
"693429","POMPOWANE BOISKO DO WATERPOLO (Piłka wodna)","NA","-63.0","7999.0","03-07-2023","https://www.pepper.pl/promocje/pompowane-boisko-do-waterpolo-pilka-wodna-693429"
"693428","Allegro Days: Frytkownica beztłuszczowa Russell Hobbs Satisfry 27160-56 1350 W 4L","299.0","-25.0","399.0","03-07-2023","https://www.pepper.pl/promocje/allegro-days-frytkownica-beztluszczowa-russell-hobbs-satisfry-27160-56-1350-w-4l-693428"
"693424","LEGO 76916 Speed Champions - Porsche 963","71.17","NA","NA","03-07-2023","https://www.pepper.pl/promocje/lego-76916-speed-champions-porsche-963-693424"
